Quadra;Bairro;Latitude;longitude;Espécie;nome comum;Hábito;PAP;Altura;Estado geral;;;
9;Centro;6959497;210555;Ligustrum lucidum ;Legusto;Árvore;1.12;5.1;Regular;;;
9;Centro;6959470;210545;Ligustrum lucidum ;Legusto;Árvore;1.25;5.71;Regular;;;
9;Centro;6959474;210546;Ligustrum lucidum ;Legusto;Árvore;1.64;5.71;Regular;;;
9;Centro;6959450;210537;Ligustrum lucidum ;Legusto;Árvore;1.43;5.95;Regular;;;
9;Centro;6959510;210534;Handroanthus chrysotrichus;Ipê;Árvore;0.73;6.68;Bom;;;
9;Centro;6959511;210540;Handroanthus heptaphyllus;Ipê-roxo;Árvore;1.37;6.68;Bom;;;
9;Centro;6959511;210546;Handroanthus chrysotrichus;Ipê;Árvore;0.76;6.8;Regular;;;
9;Centro;6959464;210541;Ligustrum lucidum ;Legusto;Árvore;0.89;6.8;Regular;;;
9;Centro;6959460;210492;Leucaena leucocephala;Leucena;Árvore;1.13;6.8;Regular;;;
9;Centro;6959463;210472;Ligustrum lucidum ;Legusto;Árvore;1.34;6.8;Regular;;;
9;Centro;6959488;210551;Ligustrum lucidum ;Legusto;Árvore;1.23;8.35;Regular;;;
9;Centro;6959496;210555;Ligustrum lucidum ;Legusto;Árvore;1.54;8.35;Regular;;;
9;Centro;6959476;210549;Ligustrum lucidum ;Legusto;Árvore;1.04;8.42;Regular;;;
9;Centro;6959458;210538;Jacaranda mimosifolia;Jacarandá-mimoso;Árvore;0.72;8.5;Regular;;;
9;Centro;6959509;210521;Chamaecyparis obtusa;Cipreste;Árvore;2.43;15.03;Bom;;;
10;Centro;6959419;210666;Lagerstroemia indica;Resedá ;Árvore;0.39;2.5;Bom;;;
10;Centro;6959460;210555;Lagerstroemia indica;Resedá ;Árvore;0.14;3.4;Bom;;;
10;Centro;6959456;210563;Lagerstroemia indica;Resedá;Árvore;0.27;3.4;Bom;;;
10;Centro;6959414;210663;Lagerstroemia indica;Resedá;Árvore;0.36;3.4;Bom;;;
10;Centro;6959513;210648;Eugenia uniflora;Pitangueira;Árvore;0.21;5.01;Bom;;;
10;Centro;6959454;210551;Myrcianthes pungens;Guabiju;Árvore;0.22;5.01;Bom;;;
10;Centro;6959447;210544;Lagerstroemia indica;Resedá;Árvore;0.31;5.1;Bom;;;
10;Centro;6959525;210597;Psidium cattleianum;Araçá-vermelho;Árvore;0.42;5.95;Bom;;;
10;Centro;6959518;210593;Psidium cattleianum;Araça-vermelho;Árvore;0.49;5.95;Bom;;;
11;Centro;6959466;210558;Jacaranda mimosifolia;Jacarandá-mimoso;Árvore;0.17;5.95;Bom;;;
11;Centro;6959412;210687;Bauhinia forficata;Pata-de-Vaca;Árvore;0.56;5.95;Bom;;;
11;Centro;6959411;210695;Bauhinia forficata;Pata-de-Vaca;Árvore;0.62;5.95;Bom;;;
12;Centro;6960082;209807;Acacia podalyriifolia;Acácia;Árvore;0.22;3.34;Bom;;;
12;Centro;6960064;209875;Terminalia catappa;Chapéu de Praia;Árvore;0.23;3.64;Bom;;;
12;Centro;6960081;209790;Acacia podalyriifolia;Acácia;Árvore;0.22;3.95;Bom;;;
12;Centro;6960083;209799;Acacia podalyriifolia;Acácia;Árvore;0.23;5.01;Bom;;;
12;Centro;6959965;209901;Senna occidentalis ;Mandaiana;Árvore;0.65;5.3;Bom;;;
12;Centro;6969072;209847;Handroanthus chrysotrichus;Ipê;Árvore;0.51;5.31;Regular;;;
12;Centro;6959945;209878;Ligustrum lucidum ;Legusto;Árvore;0.84;5.85;Péssimo;;;
12;Centro;6959944;209874;Ligustrum lucidum ;Legusto;Árvore;1.22;6.6;Regular;;;
12;Centro;6960013;209748;Ligustrum lucidum ;Legusto;Árvore;1.4;8.35;Regular;;;
13;Centro;6959958;209979;Handroanthus chrysotrichus;Ipê;Árvore;0.26;5.01;Regular;;;
13;Centro;6959959;209977;Psidium guajava;Goiabeira;Árvore;0.71;5.01;Bom;;;
13;Centro;6959948;209903;Cinnamomum zeylanicum;Canela-doce;Árvore;0.87;5.01;Bom;;;
13;Centro;6959959;209973;Mangifera indica;Mangueira;Árvore;0.85;6.68;Bom;;;
13;Centro;6959963;209920;Cinnamomum zeylanicum;Canela-doce;Árvore;0.96;8.35;Bom;;;
13;Centro;6959906;209973;Ligustrum lucidum ;Legusto;Árvore;1.38;8.5;Péssimo;;;
13;Centro;6959968;209927;Caesalpinia peltophoroides;Sibipiruna;Árvore;0.76;8.75;Bom;;;
13;Centro;6959915;209977;Ligustrum lucidum ;Legusto;Árvore;1.45;9.18;Regular;;;
13;Centro;6959953;209986;Caesalpinia peltophoroides;Sibipiruna;Árvore;1.17;11.69;Bom;;;
13;Centro;6959949;209995;Caesalpinia peltophoroides;Sibipiruna;Árvore;1.11;12.52;Bom;;;
13;Centro;6959944;209997;Caesalpinia peltophoroides;Sibipiruna;Árvore;1.5;12.52;Bom;;;
14;Centro;6959803;210019;Senna multijulga;Aleluia/Fedegoso;Árvore;0.12;4.17;Bom;;;
14;Centro;6959886;209976;Ligustrum lucidum ;Legusto;Árvore;0.3;5.01;Regular;;;
14;Centro;6959818;209999;Citrus sinensis;Laranjeira;Árvore;0.35;5.01;Bom;;;
14;Centro;6959822;209993;Melia azedarach;Cinamomo;Árvore;0.35;5.01;Bom;;;
14;Centro;6959821;299992;Jacaranda mimosifolia;Jacarandá-mimoso;Árvore;0.26;5.1;Bom;;;
14;Centro;6959818;209998;Jacaranda macrantha;Caroba;Árvore;0.46;5.1;Bom;;;
14;Centro;6959817;210037;Ligustrum lucidum ;Legusto;Árvore;0.82;5.1;Bom;;;
14;Centro;6959806;210013;Handroanthus chrysotrichus;Ipê;Árvore;0.37;5.84;Bom;;;
14;Centro;6959904;209987;Ficus auriculata;Figueira-chilena;Árvore;0.96;5.84;Bom;;;
14;Centro;6959803;210024;Mangifera indica;Mangueira;Árvore;0.8;5.95;Bom;;;
14;Centro;6959861;209958;Pyrus communis;Pera;Árvore;1;6.52;Regular;;;
14;Centro;6959824;210038;Ligustrum lucidum ;Legusto;Árvore;0.67;6.8;Regular;;;
14;Centro;6959823;210042;Ligustrum lucidum ;Legusto;Árvore;1.12;6.8;Regular;;;
14;Centro;6959894;209981;Caesalpinia peltophoroides;Sibipiruna;Árvore;0.66;7.51;Regular;;;
14;Centro;6959921;210057;Caesalpinia peltophoroides;Sibipiruna;Árvore;0.73;7.51;Bom;;;
14;Centro;6959877;209968;Jacaranda macrantha;Caroba;Árvore;0.83;7.65;Bom;;;
14;Centro;6959819;209999;Jacaranda macrantha;Caroba;Árvore;0.55;8.31;Bom;;;
14;Centro;6959888;210067;Mangifera indica;Mangueira;Árvore;1;8.35;Bom;;;
